Sppcode	strComName	strSciName	MGCode	MGName	N MU Tight	N MU Expanded	HabMG_Ha (Tight)	HabMG_Ha (Expanded)	MacroGroup % Increase
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M020	Rocky Mountain Subalpine-High Montane Conifer Forest	9	10	15,828,513.9	16,338,517.8	3
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M043	Californian Chaparral	6	6	1,080,539.6	1,165,345.5	7
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M088	Mojave-Sonoran Semi-Desert Scrub	3	4	14,266,198.4	14,735,164.0	3
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M886	Southern Vancouverian Dry Foothill Forest	3	3	637,547.4	651,445.9	2
bRUHUx	Rufous Hummingbird	Selasphorus rufus	M020	Rocky Mountain Subalpine-High Montane Conifer Forest	5	10	918,551.4	9,609,855.1	90
bRUHUx	Rufous Hummingbird	Selasphorus rufus	M034	Rocky Mountain-Great Basin Montane Riparian Forest	4	6	484,851.8	484,873.8	0
bSTJAx	Steller's Jay	Cyanocitta stelleri	M026	Intermountain Singleleaf Pinyon - Utah Juniper - Western Juniper Woodland	3	4	6,052,773.7	6,524,721.6	7
mNODEx	Northwestern Deermouse	Peromyscus keeni	M101	Vancouverian Alpine Tundra	1	3	15,408.4	35,787.1	57
mPASHp	Pacific Shrew (pacificus)	Sorex pacificus pacificus	M075	Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland	2	6	1.4	1.4	0
mSAMBx	Sambar	Rusa unicolor	9.A	Introduced & Semi Natural Vegetation	4	6	77,650.3	77,650.4	0
bALHUx	Allen's Hummingbird	Selasphorus sasin	M025	Vancouverian Subalpine Forest	3	7	31,844.0	110,449.9	71
bALHUx	Allen's Hummingbird	Selasphorus sasin	M043	Californian Chaparral	2	6	27,414.3	138,746.8	80
bBBWOx	Black-backed Woodpecker	Picoides arcticus	M014	Laurentian-Acadian Hardwood - Conifer Mesic Forest	3	7	4,014,735.5	17,116,932.4	77
bBLPWx	Blackpoll Warbler	Dendroica striata	M014	Laurentian-Acadian Hardwood - Conifer Mesic Forest	3	7	1,425,238.7	3,101,764.5	54
bBOCHx	Boreal Chickadee	Poecile hudsonica	M500	Central Rocky Mountain Mesic Lower Montane Forest	2	3	969,013.5	983,574.4	1
bCOYEx	Common Yellowthroat	Geothlypis trichas	M099	Rocky Mountain-Sierran Alpine Tundra	1	7	0.0	615,509.8	100
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	9.A	Introduced & Semi Natural Vegetation	1	6	8,088.1	10,692,706.8	100
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M050	Southern Vancouverian Lowland Grassland & Shrubland	3	4	344,739.2	359,375.7	4
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M075	Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland	5	6	976,841.6	1,572,705.4	38
bRUHUx	Rufous Hummingbird	Selasphorus rufus	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	1	8	256,855.5	309,160.3	17
bSTFLx	Scissor-tailed Flycatcher	Tyrannus forficatus	M051	Great Plains Mixedgrass & Fescue Prairie	3	5	6,749,033.4	6,749,033.4	0
bTRPAx	Tropical Parula	Parula pitiayumi	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	2	8	225,848.4	225,848.4	0
mNBARx	Nine-banded Armadillo	Dasypus novemcinctus	9.A	Introduced & Semi Natural Vegetation	4	6	6,380,180.7	6,503,034.2	2
mNBARx	Nine-banded Armadillo	Dasypus novemcinctus	M308	Southern Barrens & Glade	2	2	3,698.1	3,698.1	0
bCOYEx	Common Yellowthroat	Geothlypis trichas	M014	Laurentian-Acadian Hardwood - Conifer Mesic Forest	5	7	20,116,056.5	23,178,922.1	13
bCOYEx	Common Yellowthroat	Geothlypis trichas	M081	North American Coastal Salt Marsh	1	1	74,980.0	74,980.0	0
