Sppcode	strComName	strSciName	MGCode	MGName	N MU Tight	N MU Expanded	HabMG_Ha (Tight)	HabMG_Ha (Expanded)	MacroGroup % Increase
bALHUx	Allen's Hummingbird	Selasphorus sasin	M009	Californian Forest & Woodland	9	9	895,829.9	895,829.9	0
bBBWOx	Black-backed Woodpecker	Picoides arcticus	M887	Western North American Temperate Cliff, Scree & Rock Vegetation	3	9	56,715.4	141,055.8	60
bCOYEx	Common Yellowthroat	Geothlypis trichas	M092	North America Warm-Desert Xeric-Riparian Scrub	1	1	305,766.1	305,766.1	0
bCOYEx	Common Yellowthroat	Geothlypis trichas	M309	Southeastern Coastal Plain Patch Prairie	2	3	303.1	303.1	0
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M029	Central Hardwoods Floodplain Forest	8	9	900,557.6	1,038,394.0	13
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M101	Vancouverian Alpine Tundra	1	3	21,891.7	59,856.3	63
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M131	Eastern North American Alpine Tundra	1	2	851.8	4,438.4	81
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M882	Central Midwest Mesic Forest	3	3	526,393.4	526,427.5	0
bRUHUx	Rufous Hummingbird	Selasphorus rufus	M023	Southern Vancouverian Montane-Foothill Forest	4	7	1,176,295.0	1,188,569.3	1
bSTFLx	Scissor-tailed Flycatcher	Tyrannus forficatus	M052	Great Plains Sand Grassland & Shrubland	2	2	2,806,507.7	2,806,507.7	0
bSTFLx	Scissor-tailed Flycatcher	Tyrannus forficatus	M512	North American Warm Desert Ruderal Scrub & Grassland	1	1	3,882,185.3	3,882,185.3	0
mSAMBx	Sambar	Rusa unicolor	M015	Edwards Plateau Forest & Woodland	4	4	3,114,430.3	3,114,430.3	0
mSAMBx	Sambar	Rusa unicolor	M067	Atlantic & Gulf Coastal Plain Wet Prairie & Marsh	3	11	1,081.4	1,137.7	5
bALHUx	Allen's Hummingbird	Selasphorus sasin	M887	Western North American Temperate Cliff, Scree & Rock Vegetation	2	9	5,877.0	21,490.1	73
bBBWOx	Black-backed Woodpecker	Picoides arcticus	M023	Southern Vancouverian Montane-Foothill Forest	6	7	3,420,054.3	3,420,870.5	0
bBBWOx	Black-backed Woodpecker	Picoides arcticus	M024	Vancouverian Lowland & Montane Forest	5	10	1,522,989.6	2,157,107.2	29
bCOYEx	Common Yellowthroat	Geothlypis trichas	M007	Longleaf Pine Woodland	12	20	1,883,103.9	5,747,747.1	67
bCOYEx	Common Yellowthroat	Geothlypis trichas	M009	Californian Forest & Woodland	5	9	523,898.3	1,324,756.6	60
bCOYEx	Common Yellowthroat	Geothlypis trichas	M710	Caribbean Freshwater Marsh, Wet Meadow & Shrubland	3	3	825,395.5	825,395.5	0
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M015	Edwards Plateau Forest & Woodland	3	4	4,880,323.4	4,899,398.3	0
bSTFLx	Scissor-tailed Flycatcher	Tyrannus forficatus	M087	Chihuahuan Semi-Desert Grassland	5	5	1,276,332.7	1,283,907.4	1
mNOMYx	Northern Myotis	Myotis septentrionalis	M887	Western North American Temperate Cliff, Scree & Rock Vegetation	1	9	94.1	94.1	0
mSAMBx	Sambar	Rusa unicolor	M024	Vancouverian Lowland & Montane Forest	1	10	2,325.1	2,325.1	0
mSAMBx	Sambar	Rusa unicolor	M057	Eastern North American Dune & Coastal Grassland	2	8	2,908.1	2,908.1	0
rGRANx	Green Anole	Anolis carolinensis	M015	Edwards Plateau Forest & Woodland	2	4	385,609.4	2,406,775.8	84
bBBWOx	Black-backed Woodpecker	Picoides arcticus	M009	Californian Forest & Woodland	4	9	854,448.8	1,175,475.2	27
bCOYEx	Common Yellowthroat	Geothlypis trichas	M015	Edwards Plateau Forest & Woodland	2	4	8,193.6	141,714.6	94
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M035	Vancouverian Flooded & Swamp Forest	2	3	82,819.2	101,430.6	18
bRUHUx	Rufous Hummingbird	Selasphorus rufus	M009	Californian Forest & Woodland	3	9	804,937.7	827,408.1	3
bSTFLx	Scissor-tailed Flycatcher	Tyrannus forficatus	M016	Southern & South-Central Oak - Hickory - Pine Forest & Woodland	2	28	1,084,692.6	14,286,942.7	92
mACSHx	Arctic Shrew	Sorex arcticus	M071	Great Plains Marsh, Wet Meadow, Shrubland & Playa	4	4	589,908.7	589,908.7	0
mACSHx	Arctic Shrew	Sorex arcticus	M077	Great Plains Saline Wet Meadow & Marsh	1	1	4,697.9	4,697.9	0
bCOYEx	Common Yellowthroat	Geothlypis trichas	M024	Vancouverian Lowland & Montane Forest	8	10	5,863,298.3	6,585,443.7	11
bCOYEx	Common Yellowthroat	Geothlypis trichas	M888	Arid West Interior Freswater Marsh	3	3	192,397.3	370,477.0	48
bRUHUx	Rufous Hummingbird	Selasphorus rufus	M024	Vancouverian Lowland & Montane Forest	9	10	6,140,351.3	6,176,724.0	1
bSTFLx	Scissor-tailed Flycatcher	Tyrannus forficatus	M076	Warm Desert Lowland Freshwater Marsh, Wet Meadow & Shrubland	2	2	67,028.4	67,028.4	0
bSTJAx	Steller's Jay	Cyanocitta stelleri	M009	Californian Forest & Woodland	7	9	3,567,712.6	4,132,113.8	14
mNBARx	Nine-banded Armadillo	Dasypus novemcinctus	M029	Central Hardwoods Floodplain Forest	5	9	549,264.2	558,112.2	2
bBOWAx	Bohemian Waxwing	Bombycilla garrulus	M014	Laurentian-Acadian Hardwood - Conifer Mesic Forest	2	7	8,890,103.0	9,169,265.3	3
bBOWAx	Bohemian Waxwing	Bombycilla garrulus	M075	Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland	2	6	433,233.8	784,889.9	45
bCMWAx	Cape May Warbler	Dendroica tigrina	M014	Laurentian-Acadian Hardwood - Conifer Mesic Forest	6	7	9,603,728.8	12,012,064.2	20
bOCWAx	Orange-crowned Warbler	Vermivora celata	M020	Rocky Mountain Subalpine-High Montane Conifer Forest	10	10	10,717,937.1	13,629,179.1	21
bWCPIx	White-crowned Pigeon	Patagioenas leucocephala	M005	Western Atlantic & Caribbean Mangrove	1	1	233,199.6	233,199.6	0
mBDSHx	Baird's Shrew	Sorex bairdi	M020	Rocky Mountain Subalpine-High Montane Conifer Forest	3	10	2,218.5	201,067.8	99
mBDSHx	Baird's Shrew	Sorex bairdi	M025	Vancouverian Subalpine Forest	3	7	53,833.6	53,833.6	0
mBOGOx	Botta's Pocket Gopher	Thomomys bottae	M011	Madrean Montane Forest & Woodland	2	2	654,586.1	654,586.1	0
mBOGOx	Botta's Pocket Gopher	Thomomys bottae	M500	Central Rocky Mountain Mesic Lower Montane Forest	1	3	6.0	3,374.2	100
mNOSSx	Northern Short-tailed Shrew	Blarina brevicauda	M161	Pond-cypress Basin Swamp	2	3	962.6	962.6	0
rYBSLx	Yellow-backed Spiny Lizard	Sceloporus uniformis	M011	Madrean Montane Forest & Woodland	2	2	33,076.4	33,076.4	0
bBOWAx	Bohemian Waxwing	Bombycilla garrulus	M034	Rocky Mountain-Great Basin Montane Riparian Forest	4	6	620,579.4	622,755.1	0
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M026	Intermountain Singleleaf Pinyon - Utah Juniper - Western Juniper Woodland	4	4	9,034,071.8	9,034,071.8	0
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M050	Southern Vancouverian Lowland Grassland & Shrubland	3	4	355,523.5	370,507.1	4
bOCWAx	Orange-crowned Warbler	Vermivora celata	M025	Vancouverian Subalpine Forest	6	7	773,150.0	1,079,031.3	28
bOCWAx	Orange-crowned Warbler	Vermivora celata	M026	Intermountain Singleleaf Pinyon - Utah Juniper - Western Juniper Woodland	3	4	4,711,529.7	6,450,688.4	27
bPIGRx	Pine Grosbeak	Pinicola enucleator	M020	Rocky Mountain Subalpine-High Montane Conifer Forest	10	10	12,357,266.3	14,241,009.9	13
bPIGRx	Pine Grosbeak	Pinicola enucleator	M043	Californian Chaparral	1	6	3,346.4	21,469.4	84
bPIGRx	Pine Grosbeak	Pinicola enucleator	M883	Appalachian-Central Interior-Northeastern Mesic Forest	4	6	5,146,817.0	5,454,231.9	6
mBDSHx	Baird's Shrew	Sorex bairdi	M034	Rocky Mountain-Great Basin Montane Riparian Forest	4	6	7,249.2	7,249.2	0
mBOGOx	Botta's Pocket Gopher	Thomomys bottae	M087	Chihuahuan Semi-Desert Grassland	3	5	5,508,592.4	5,771,355.1	5
bBBWAx	Bay-breasted Warbler	Dendroica castanea	M014	Laurentian-Acadian Hardwood - Conifer Mesic Forest	5	7	9,893,637.0	9,893,637.0	0
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	7.A.1	Woody Horticultural Crop	1	1	36,561.8	36,561.8	0
bOCWAx	Orange-crowned Warbler	Vermivora celata	M883	Appalachian-Central Interior-Northeastern Mesic Forest	6	6	118,579.5	118,579.5	0
bPIGRx	Pine Grosbeak	Pinicola enucleator	M025	Vancouverian Subalpine Forest	6	7	777,791.4	819,185.1	5
mBOGOx	Botta's Pocket Gopher	Thomomys bottae	7.B.2	Pasture & Hay Field Crop	1	1	864,869.5	864,869.5	0
aSZSAx	Southern Zigzag Salamander	Plethodon ventralis	M883	Appalachian-Central Interior-Northeastern Mesic Forest	1	6	864,426.7	1,145,107.8	25
bBOWAx	Bohemian Waxwing	Bombycilla garrulus	7.A.1	Woody Horticultural Crop	1	1	31.8	31.8	0
bBOWAx	Bohemian Waxwing	Bombycilla garrulus	M020	Rocky Mountain Subalpine-High Montane Conifer Forest	4	10	9,709,623.8	14,349,395.9	32
bOCWAx	Orange-crowned Warbler	Vermivora celata	M010	Madrean Lowland Evergreen Woodland	2	3	2,228,280.0	2,294,146.4	3
bOCWAx	Orange-crowned Warbler	Vermivora celata	M876	North American Boreal & Sub-Boreal Acidic Bog & Fen	1	2	46,694.7	49,670.6	6
bPIGRx	Pine Grosbeak	Pinicola enucleator	M036	Interior Warm & Cool Desert Riparian Forest	1	7	996.8	198,885.1	99
mBDSHx	Baird's Shrew	Sorex bairdi	M888	Arid West Interior Freswater Marsh	1	3	397.5	26,326.4	98
mBOGOx	Botta's Pocket Gopher	Thomomys bottae	M050	Southern Vancouverian Lowland Grassland & Shrubland	2	4	314,804.5	315,367.7	0
rYBSLx	Yellow-backed Spiny Lizard	Sceloporus uniformis	M075	Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland	1	6	27,144.3	29,928.2	9
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M025	Vancouverian Subalpine Forest	2	7	358,029.8	1,664,532.5	78
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M043	Californian Chaparral	6	6	1,284,596.3	1,284,596.3	0
bBRBLx	Brewer's Blackbird	Euphagus cyanocephalus	M151	Great Plains Forest & Woodland	4	4	618,493.0	692,376.9	11
bBRBLx	Brewer's Blackbird	Euphagus cyanocephalus	M504	Laurentian-Acadian-Northeast Flooded & Swamp Forest	3	3	226,403.4	226,403.4	0
bHOREx	Hoary Redpoll	Carduelis hornemanni	M501	Central Rocky Mountain Dry Lower Montane-Foothill Forest	1	6	2,120,415.1	9,189,518.4	77
bLASPx	Lark Sparrow	Chondestes grammacus	M043	Californian Chaparral	6	6	1,128,179.9	1,128,179.9	0
bRLHAx	Rough-legged Hawk	Buteo lagopus	10.A	Recently Disturbed or Modified	8	12	7,533,778.3	10,586,200.1	29
bSOSPx	Song Sparrow	Melospiza melodia	M074	Western North American Vernal Pool	2	2	6,987.5	6,987.5	0
bSOSPx	Song Sparrow	Melospiza melodia	M883	Appalachian-Central Interior-Northeastern Mesic Forest	1	6	166.5	9,643,186.8	100
aARSAx	Arboreal Salamander	Aneides lugubris	M036	Interior Warm & Cool Desert Riparian Forest	3	7	226,213.3	226,213.3	0
bGCRFx	Gray-crowned Rosy-finch	Leucosticte tephrocotis	M099	Rocky Mountain-Sierran Alpine Tundra	7	7	1,837,253.0	1,854,449.1	1
bHOREx	Hoary Redpoll	Carduelis hornemanni	M054	Central Lowlands Tallgrass Prairie	1	7	164,758.2	1,389,537.8	88
bLASPx	Lark Sparrow	Chondestes grammacus	7.A.1	Woody Horticultural Crop	1	1	1,650.3	1,650.3	0
bLASPx	Lark Sparrow	Chondestes grammacus	M028	Great Plains Floodplain Forest	2	5	840,387.7	3,170,955.2	73
bLASPx	Lark Sparrow	Chondestes grammacus	M033	Southern Coastal Plain Basin Swamp & Flatwoods	1	12	80,664.5	462,919.9	83
bRLHAx	Rough-legged Hawk	Buteo lagopus	M060	Eastern North American Coastal Beach & Rocky Shore	3	8	12,175.2	12,423.1	2
bRLHAx	Rough-legged Hawk	Buteo lagopus	M074	Western North American Vernal Pool	2	2	6,987.5	6,987.5	0
bSNOWx	Snowy Owl	Bubo scandiacus	M059	Pacific Coastal Beach & Dune	3	3	25,575.8	25,575.8	0
bSOSPx	Song Sparrow	Melospiza melodia	M061	Eastern North American Cool Temperate Seep	1	1	36.6	36.6	0
bTOWAx	Townsend's Warbler	Dendroica townsendi	M501	Central Rocky Mountain Dry Lower Montane-Foothill Forest	4	6	9,065,351.4	9,065,394.1	0
bWTDOx	White-tipped Dove	Leptotila verreauxi	M036	Interior Warm & Cool Desert Riparian Forest	2	7	67,563.9	67,563.9	0
mESSKx	Eastern Spotted Skunk	Spilogale putorius	M036	Interior Warm & Cool Desert Riparian Forest	1	7	13,185.8	94,924.4	86
bBRBLx	Brewer's Blackbird	Euphagus cyanocephalus	M054	Central Lowlands Tallgrass Prairie	6	7	3,336,543.4	3,782,555.8	12
bGCRFx	Gray-crowned Rosy-finch	Leucosticte tephrocotis	M050	Southern Vancouverian Lowland Grassland & Shrubland	1	4	2,089.6	6,561.2	68
bLASPx	Lark Sparrow	Chondestes grammacus	M088	Mojave-Sonoran Semi-Desert Scrub	3	4	8,201,380.6	8,544,790.4	4
bRLHAx	Rough-legged Hawk	Buteo lagopus	M054	Central Lowlands Tallgrass Prairie	4	7	4,532,588.3	5,310,362.5	15
bSNOWx	Snowy Owl	Bubo scandiacus	M054	Central Lowlands Tallgrass Prairie	3	7	3,412,216.2	5,253,323.9	35
aLASAx	Louisiana Slimy Salamander	Plethodon kisatchie	M033	Southern Coastal Plain Basin Swamp & Flatwoods	3	12	41,969.3	41,969.3	0
bBRBLx	Brewer's Blackbird	Euphagus cyanocephalus	M074	Western North American Vernal Pool	2	2	6,987.5	6,987.5	0
bGCRFx	Gray-crowned Rosy-finch	Leucosticte tephrocotis	10.A	Recently Disturbed or Modified	1	12	0.0	23.8	100
bHOREx	Hoary Redpoll	Carduelis hornemanni	M504	Laurentian-Acadian-Northeast Flooded & Swamp Forest	1	3	358,066.4	1,649,559.1	78
bLASPx	Lark Sparrow	Chondestes grammacus	M022	Southern Rocky Mountain Lower Montane Forest	2	4	5,018,819.9	6,808,018.0	26
bLASPx	Lark Sparrow	Chondestes grammacus	M027	Southern Rocky Mountain & Colorado Plateau Two-needle Pinyon - One-seed Juniper Woodland	4	4	13,304,268.5	13,304,268.5	0
bSNOWx	Snowy Owl	Bubo scandiacus	M060	Eastern North American Coastal Beach & Rocky Shore	3	8	12,175.2	12,175.2	0
mESSKx	Eastern Spotted Skunk	Spilogale putorius	M033	Southern Coastal Plain Basin Swamp & Flatwoods	1	12	326,568.1	1,082,432.0	70
mLECHt	Penasco Chipmunk	Tamias minimus atristriatus	M022	Southern Rocky Mountain Lower Montane Forest	1	4	18,173.4	18,377.9	1
aNRSAx	Northern Ravine Salamander	Plethodon electromorphus	M883	Appalachian-Central Interior-Northeastern Mesic Forest	2	6	3,155,001.0	3,222,087.1	2
bLASPx	Lark Sparrow	Chondestes grammacus	M095	Great Basin-Intermountain Xeric-Riparian Scrub	1	1	5,590.4	5,590.4	0
bSOSPx	Song Sparrow	Melospiza melodia	M036	Interior Warm & Cool Desert Riparian Forest	7	7	826,221.2	826,221.2	0
bSOSPx	Song Sparrow	Melospiza melodia	M044	Californian Coastal Scrub	2	3	1,233,688.8	1,233,727.0	0
aTESAx	Tellico Salamander	Plethodon aureolus	M502	Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland	4	19	101,986.2	117,874.6	13
bGREPx	Green Parakeet	Aratinga holochlora	8.A	Developed & Urban	2	4	59,582.7	96,337.9	38
bGWWAx	Golden-winged Warbler	Vermivora chrysoptera	M502	Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland	13	19	14,144,078.2	14,499,457.7	2
bYRWAx	Yellow-rumped Warbler	Dendroica coronata	M032	Southern Coastal Plain Evergreen Hardwood-Conifer Swamp	4	5	810,390.9	810,390.9	0
bYRWAx	Yellow-rumped Warbler	Dendroica coronata	M053	Great Plains Shortgrass Prairie	1	2	6,874,972.0	9,978,400.9	31
mSTVOx	Sonoma Tree Vole	Arborimus pomo	M023	Southern Vancouverian Montane-Foothill Forest	3	7	588,149.9	601,288.9	2
mSTVOx	Sonoma Tree Vole	Arborimus pomo	M024	Vancouverian Lowland & Montane Forest	5	10	560,035.1	560,035.1	0
rSFLSx	Southeastern Five-lined Skink	Plestiodon inexpectatus	M502	Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland	3	19	1,012,981.6	3,826,993.8	74
rYBKIx	Yellow-bellied Kingsnake	Lampropeltis calligaster	M881	Eastern North American Riverscour Vegetation	1	2	65,405.3	69,791.1	6
bCOREx	Common Redpoll	Carduelis flammea	M053	Great Plains Shortgrass Prairie	1	2	0.0	433,268.6	100
bGWWAx	Golden-winged Warbler	Vermivora chrysoptera	M016	Southern & South-Central Oak - Hickory - Pine Forest & Woodland	6	28	2,432,547.8	2,822,562.6	14
bLCSPx	Le Conte's Sparrow	Ammodramus leconteii	M710	Caribbean Freshwater Marsh, Wet Meadow & Shrubland	2	3	0.0	679.0	100
bYRWAx	Yellow-rumped Warbler	Dendroica coronata	M076	Warm Desert Lowland Freshwater Marsh, Wet Meadow & Shrubland	2	2	260,034.4	260,034.4	0
aSYSAx	Siskiyou Mountains Salamander	Plethodon stormi	M073	Vancouverian Lowland Marsh, Wet Meadow & Shrubland	1	6	0.0	796.9	100
bCOREx	Common Redpoll	Carduelis flammea	M013	Eastern North American Ruderal Forest	1	2	453,097.9	1,045,071.6	57
bLUHUx	Lucifer Hummingbird	Calothorax lucifer	M076	Warm Desert Lowland Freshwater Marsh, Wet Meadow & Shrubland	2	2	20,186.4	20,186.4	0
bMAWAx	Magnolia Warbler	Dendroica magnolia	M496	West-Central North American Boreal Forest	2	2	2,478,946.6	2,478,946.6	0
bYRWAx	Yellow-rumped Warbler	Dendroica coronata	M496	West-Central North American Boreal Forest	2	2	2,506,727.0	2,506,727.0	0
rSTELx	Spot-tailed Earless Lizard	Holbrookia lacerata	M016	Southern & South-Central Oak - Hickory - Pine Forest & Woodland	6	28	139,608.6	222,638.2	37
rSTELx	Spot-tailed Earless Lizard	Holbrookia lacerata	M086	Chihuahuan Desert Scrub	4	5	308,494.9	310,301.6	1
bCOREx	Common Redpoll	Carduelis flammea	8.A	Developed & Urban	3	4	7,213,009.4	7,462,986.2	3
bGWWAx	Golden-winged Warbler	Vermivora chrysoptera	M159	Laurentian & Acadian Pine - Hardwood Forest & Woodland	2	2	1,515,157.4	1,515,157.4	0
bLCSPx	Le Conte's Sparrow	Ammodramus leconteii	M029	Central Hardwoods Floodplain Forest	1	9	25.5	300,628.3	100
bLCSPx	Le Conte's Sparrow	Ammodramus leconteii	M309	Southeastern Coastal Plain Patch Prairie	2	3	311,770.7	317,662.4	2
bYRWAx	Yellow-rumped Warbler	Dendroica coronata	M013	Eastern North American Ruderal Forest	1	2	4,515,808.1	5,364,510.4	16
bYRWAx	Yellow-rumped Warbler	Dendroica coronata	M052	Great Plains Sand Grassland & Shrubland	1	2	256,784.2	466,945.5	45
bYRWAx	Yellow-rumped Warbler	Dendroica coronata	M508	Central Interior Calcareous Scrub & Grassland	4	6	322,224.5	361,689.8	11
aTCSAx	Tennessee Cave Salamander	Gyrinophilus palleucus	M508	Central Interior Calcareous Scrub & Grassland	1	6	50,034.5	67,588.9	26
aWASAx	Wandering Salamander	Aneides vagrans	M023	Southern Vancouverian Montane-Foothill Forest	2	7	509,295.6	520,413.7	2
bBTBWx	Black-throated Blue Warbler	Dendroica caerulescens	M016	Southern & South-Central Oak - Hickory - Pine Forest & Woodland	3	28	399,606.9	693,169.8	42
bBTBWx	Black-throated Blue Warbler	Dendroica caerulescens	M031	Southern Coastal Plain Floodplain Forest	2	22	11,459.9	11,603.2	1
bGWWAx	Golden-winged Warbler	Vermivora chrysoptera	8.A	Developed & Urban	1	4	5,761,062.6	11,116,031.2	48
bLCSPx	Le Conte's Sparrow	Ammodramus leconteii	M013	Eastern North American Ruderal Forest	1	2	138,153.2	4,466,867.9	97
bLUHUx	Lucifer Hummingbird	Calothorax lucifer	M512	North American Warm Desert Ruderal Scrub & Grassland	1	1	769,312.4	769,312.4	0
bMAWAx	Magnolia Warbler	Dendroica magnolia	M013	Eastern North American Ruderal Forest	2	2	1,428,946.4	1,428,946.4	0
mHITAx	Himalayan Tahr	Hemitragus jemlahicus	M076	Warm Desert Lowland Freshwater Marsh, Wet Meadow & Shrubland	1	2	2.7	2.7	0
bATSPx	American Tree Sparrow	Spizella arborea	M027	Southern Rocky Mountain & Colorado Plateau Two-needle Pinyon - One-seed Juniper Woodland	4	4	9,791,630.8	9,791,630.8	0
bMERLx	Merlin	Falco columbarius	M082	Warm & Cool Desert Alkali-Saline marsh, Playa & Shrubland	4	4	1,048,542.5	4,593,328.0	77
bOLSPx	Olive Sparrow	Arremonops rufivirgatus	M130	Tamaulipan Scrub & Grassland	3	6	1,190,778.7	1,508,934.3	21
bPIWOx	Pileated Woodpecker	Dryocopus pileatus	M008	Southern Mesic Mixed Broadleaf Forest	8	8	2,909,038.5	2,980,794.8	2
bPIWOx	Pileated Woodpecker	Dryocopus pileatus	M094	Cool Interior Chaparral	1	2	72,339.1	77,466.4	7
bRTHUx	Ruby-throated Hummingbird	Archilochus colubris	M617	Caribbean Swamp	2	3	134,091.9	203,597.6	34
bFSSPx	Five-striped Sparrow	Aimophila quinquestriata	M512	North American Warm Desert Ruderal Scrub & Grassland	1	1	265,305.1	265,305.1	0
bLEGOx	Lesser Goldfinch	Carduelis psaltria	9.A	Introduced & Semi Natural Vegetation	1	6	540,866.3	3,888,078.1	86
bMERLx	Merlin	Falco columbarius	M093	Great Basin Saltbush Scrub	3	3	1,254,359.4	9,578,757.0	87
bPISIx	Pine Siskin	Carduelis pinus	M067	Atlantic & Gulf Coastal Plain Wet Prairie & Marsh	4	11	86,742.3	311,087.2	72
bPISIx	Pine Siskin	Carduelis pinus	M094	Cool Interior Chaparral	2	2	94,021.1	97,276.8	3
bPIWOx	Pileated Woodpecker	Dryocopus pileatus	M309	Southeastern Coastal Plain Patch Prairie	1	3	7,053.5	299,652.3	98
bPIWOx	Pileated Woodpecker	Dryocopus pileatus	M617	Caribbean Swamp	2	3	172,184.9	203,529.1	15
bRTHUx	Ruby-throated Hummingbird	Archilochus colubris	M028	Great Plains Floodplain Forest	1	5	0.0	419,079.6	100
bSPGRx	Spruce Grouse	Falcipennis canadensis	M022	Southern Rocky Mountain Lower Montane Forest	1	4	68.0	80.6	16
bAMWOx	American Woodcock	Scolopax minor	M309	Southeastern Coastal Plain Patch Prairie	3	3	316,755.5	317,753.0	0
bATSPx	American Tree Sparrow	Spizella arborea	M028	Great Plains Floodplain Forest	5	5	3,047,210.3	3,080,688.2	1
bPISIx	Pine Siskin	Carduelis pinus	M509	Central-Piedmont Acidic Scrub & Grassland	2	2	3,849.7	3,849.7	0
bPIWOx	Pileated Woodpecker	Dryocopus pileatus	M028	Great Plains Floodplain Forest	2	5	0.0	179,846.3	100
bRTHUx	Ruby-throated Hummingbird	Archilochus colubris	M305	Southeastern North American Ruderal Forest	7	8	13,736,103.3	14,449,504.6	5
bSNBUx	Snow Bunting	Plectrophenax nivalis	M028	Great Plains Floodplain Forest	4	5	1,708,659.2	1,920,639.9	11
mCGGSx	Cascade Golden-mantled Ground Squirrel	Callospermophilus saturatus	9.A	Introduced & Semi Natural Vegetation	4	6	12,397.1	12,397.1	0
mCGMOx	Chihuahuan Grasshopper Mouse	Onychomys arenicola	M027	Southern Rocky Mountain & Colorado Plateau Two-needle Pinyon - One-seed Juniper Woodland	1	4	537,884.1	2,488,483.7	78
bMERLx	Merlin	Falco columbarius	M067	Atlantic & Gulf Coastal Plain Wet Prairie & Marsh	9	11	678,772.9	682,466.3	1
bPISIx	Pine Siskin	Carduelis pinus	M048	Central Rocky Mountain Montane-Foothill Grassland & Shrubland	1	6	29,895.7	4,034,552.6	99
bPISIx	Pine Siskin	Carduelis pinus	M131	Eastern North American Alpine Tundra	1	2	2,867.0	6,453.6	56
bRTHUx	Ruby-throated Hummingbird	Archilochus colubris	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	8	8	549,421.8	549,421.8	0
bAMWOx	American Woodcock	Scolopax minor	M008	Southern Mesic Mixed Broadleaf Forest	7	8	2,914,243.2	2,987,035.1	2
bFSSPx	Five-striped Sparrow	Aimophila quinquestriata	M086	Chihuahuan Desert Scrub	1	5	154,442.0	229,832.6	33
bMERLx	Merlin	Falco columbarius	M094	Cool Interior Chaparral	2	2	94,021.1	97,276.8	3
bPISIx	Pine Siskin	Carduelis pinus	M082	Warm & Cool Desert Alkali-Saline marsh, Playa & Shrubland	2	4	295,206.8	875,877.8	66
bRTHUx	Ruby-throated Hummingbird	Archilochus colubris	9.A	Introduced & Semi Natural Vegetation	1	6	0.0	111,254.9	100
mCSMOx	Coast Mole	Scapanus orarius	M082	Warm & Cool Desert Alkali-Saline marsh, Playa & Shrubland	1	4	3,796.9	6,853.9	45
bLEGOx	Lesser Goldfinch	Carduelis psaltria	8.A	Developed & Urban	3	4	4,952,120.6	5,808,272.1	15
bMERLx	Merlin	Falco columbarius	M118	Intermountain Basins Cliff, Scree & Badlands Sparse Vegetation	4	6	280,684.4	606,564.5	54
mCGMOx	Chihuahuan Grasshopper Mouse	Onychomys arenicola	M091	Warm Interior Chaparral	1	4	94,264.7	103,848.7	9
bAMWOx	American Woodcock	Scolopax minor	M067	Atlantic & Gulf Coastal Plain Wet Prairie & Marsh	2	11	69,529.1	682,746.4	90
bAMWOx	American Woodcock	Scolopax minor	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	3	8	391,578.0	748,763.3	48
rREGEx	Reef Gecko	Sphaerodactylus notatus	M134	Caribbean Coastal Lowland Dry Forest	1	3	3,355.8	3,587.0	6
bEWCSx	White-crowned Sparrow	Zonotrichia leucophrys	12.A	Barren	1	3	22,778.5	66,129.7	66
bEWCSx	White-crowned Sparrow	Zonotrichia leucophrys	M504	Laurentian-Acadian-Northeast Flooded & Swamp Forest	1	3	1,039.4	253,209.6	100
bEWCSx	White-crowned Sparrow	Zonotrichia leucophrys	M507	Laurentian-Acadian Calcareous Scrub & Grassland	1	1	16.5	16.5	0
bFICRx	Fish Crow	Corvus ossifragus	7.B.1	Herbaceous Agricultural Vegetation	1	1	15,222,639.4	15,222,639.4	0
mBASHx	Barbary Sheep	Ammotragus lervia	M051	Great Plains Mixedgrass & Fescue Prairie	1	5	2,450.9	132,974.4	98
mBASHx	Barbary Sheep	Ammotragus lervia	M876	North American Boreal & Sub-Boreal Acidic Bog & Fen	1	2	6,339.3	6,339.3	0
rTERAx	Texas Ratsnake	Pantherophis obsoletus	7.B.1	Herbaceous Agricultural Vegetation	1	1	25,946,878.2	25,946,878.2	0
rTERAx	Texas Ratsnake	Pantherophis obsoletus	M033	Southern Coastal Plain Basin Swamp & Flatwoods	3	12	451,157.9	451,197.3	0
